#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DLGAP1	DLG4	0	0	0	0	0	0	0	0	0	0	0.999
LLGL1	DLG2	0	0	0	0	0	0	0	0	0	0	0.84
LLGL1	UBE3A	0	0	0	0	0	0	0	0	0	0	0.905
LLGL1	DLG3	0	0	0	0	0	0	0	0	0	0	0.939
LLGL1	DLG1	0	0	0	0	0	0	0	0	0	0	0.975
LLGL1	DLG4	0	0	0	0	0	0	0	0	0	0	0.983
KCNA4	DLG3	0	0	0	0	0	0	0	0	0	0	0.517
KCNA4	GRIA1	0	0	0	0	0	0	0	0	0	0	0.529
KCNA4	CTTN	0	0	0	0	0	0	0	0	0	0	0.542
KCNA4	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.63
KCNA4	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.671
KCNA4	DLG2	0	0	0	0	0	0	0	0	0	0	0.923
KCNA4	DLG1	0	0	0	0	0	0	0	0	0	0	0.929
KCNA4	DLG4	0	0	0	0	0	0	0	0	0	0	0.997
GRIN2A	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.471
GRIN2A	NLGN3	0	0	0	0	0	0	0	0	0	0	0.472
GRIN2A	NLGN1	0	0	0	0	0	0	0	0	0	0	0.554
GRIN2A	SHANK2	0	0	0	0	0	0	0	0	0	0	0.555
GRIN2A	DLGAP3	0	0	0	0	0	0	0	0	0	0	0.574
GRIN2A	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.577
GRIN2A	NRXN1	0	0	0	0	0	0	0	0	0	0	0.617
GRIN2A	SHANK3	0	0	0	0	0	0	0	0	0	0	0.638
GRIN2A	GRIK2	0	0	0	0	0	0	0	0	0	0	0.718
GRIN2A	CASK	0	0	0	0	0	0	0	0	0	0	0.754
GRIN2A	ERBB4	0	0	0	0	0	0	0	0	0	0	0.768
GRIN2A	HOMER1	0	0	0	0	0	0	0	0	0	0	0.768
GRIN2A	GRIA1	0	0	0	0	0	0	0	0	0	0	0.926
GRIN2A	DLG1	0	0	0	0	0	0	0	0	0	0	0.979
GRIN2A	DLG2	0	0	0	0	0	0	0	0	0	0	0.997
GRIN2A	DLG3	0	0	0	0	0	0	0	0	0	0	0.998
GRIN2A	GRIN1	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2A	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2A	DLG4	0	0	0	0	0	0	0	0	0	0	0.999
HOMER1	DLG1	0	0	0	0	0	0	0	0	0	0	0.553
HOMER1	GRIN1	0	0	0	0	0	0	0	0	0	0	0.641
HOMER1	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.675
HOMER1	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.69
HOMER1	NRXN1	0	0	0	0	0	0	0	0	0	0	0.706
HOMER1	DLG3	0	0	0	0	0	0	0	0	0	0	0.707
HOMER1	NLGN3	0	0	0	0	0	0	0	0	0	0	0.721
HOMER1	NLGN1	0	0	0	0	0	0	0	0	0	0	0.726
HOMER1	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.734
HOMER1	CTTN	0	0	0	0	0	0	0	0	0	0	0.791
HOMER1	DLGAP3	0	0	0	0	0	0	0	0	0	0	0.816
HOMER1	DLG2	0	0	0	0	0	0	0	0	0	0	0.821
HOMER1	GRIA1	0	0	0	0	0	0	0	0	0	0	0.873
HOMER1	SHANK2	0	0	0	0	0	0	0	0	0	0	0.937
HOMER1	SHANK3	0	0	0	0	0	0	0	0	0	0	0.957
HOMER1	DLG4	0	0	0	0	0	0	0	0	0	0	0.988
HOMER1	HOMER3	0	0	0	0	0	0	0	0	0	0	0.993
